record_time,line_no,has_defect,mh,mb,oc,sh,sp,spc,pic_file_name
2024-06-24 16:09:38,1,0,0,0,0,0,0,0,202406241609381.jpg
2024-06-07 21:11:55,5,0,0,0,0,0,0,0,202406072111555.jpg
2024-06-30 20:16:17,4,0,0,0,0,0,0,0,202406302016174.jpg
2024-06-26 22:07:01,4,0,0,0,0,0,0,0,202406262207014.jpg
2024-06-15 11:42:38,5,0,0,0,0,0,0,0,202406151142385.jpg
2024-06-10 13:51:15,1,1,4,1,4,2,2,5,202406101351151.jpg
2024-06-13 04:28:58,1,1,2,1,7,2,4,6,202406130428581.jpg
2024-06-13 15:49:49,2,0,0,0,0,0,0,0,202406131549492.jpg
2024-06-20 23:14:38,5,0,0,0,0,0,0,0,202406202314385.jpg
2024-06-09 19:26:34,1,0,0,0,0,0,0,0,202406091926341.jpg
2024-06-24 10:27:19,1,0,0,0,0,0,0,0,202406241027191.jpg
2024-06-23 23:08:53,1,1,1,1,1,1,2,4,202406232308531.jpg
2024-07-01 20:44:57,5,1,2,0,4,0,3,7,202407012044575.jpg
2024-06-23 23:39:23,1,1,0,0,1,5,0,4,202406232339231.jpg
2024-06-14 07:33:01,4,0,0,0,0,0,0,0,202406140733014.jpg
2024-06-22 16:46:09,3,0,0,0,0,0,0,0,202406221646093.jpg
2024-06-25 09:29:22,1,1,1,0,9,5,4,2,202406250929221.jpg
2024-06-09 02:32:12,5,1,3,1,2,3,1,6,202406090232125.jpg
2024-06-05 05:43:11,5,0,0,0,0,0,0,0,202406050543115.jpg
2024-06-22 09:49:06,5,1,2,1,6,4,2,7,202406220949065.jpg
2024-06-21 15:31:59,2,0,0,0,0,0,0,0,202406211531592.jpg
2024-06-18 17:26:48,4,0,0,0,0,0,0,0,202406181726484.jpg
2024-06-05 04:50:30,2,0,0,0,0,0,0,0,202406050450302.jpg
2024-06-11 05:46:26,1,1,4,0,9,3,2,7,202406110546261.jpg
2024-06-26 00:25:06,2,0,0,0,0,0,0,0,202406260025062.jpg
2024-06-26 04:27:33,1,1,3,1,2,2,1,6,202406260427331.jpg
2024-07-01 12:19:06,4,1,4,0,3,0,2,7,202407011219064.jpg
2024-06-30 15:20:41,4,1,1,0,6,3,3,1,202406301520414.jpg
2024-06-05 21:30:04,4,1,0,1,0,4,0,7,202406052130044.jpg
2024-06-09 12:18:33,1,0,0,0,0,0,0,0,202406091218331.jpg
2024-06-25 23:56:57,4,1,3,0,0,5,4,2,202406252356574.jpg
2024-06-14 06:00:37,1,0,0,0,0,0,0,0,202406140600371.jpg
2024-06-01 19:14:31,4,0,0,0,0,0,0,0,202406011914314.jpg
2024-06-12 05:03:57,2,0,0,0,0,0,0,0,202406120503572.jpg
2024-06-30 23:13:42,3,1,3,1,2,0,0,6,202406302313423.jpg
2024-06-10 07:08:14,4,0,0,0,0,0,0,0,202406100708144.jpg
2024-06-27 02:57:18,5,0,0,0,0,0,0,0,202406270257185.jpg
2024-06-17 05:42:52,4,0,0,0,0,0,0,0,202406170542524.jpg
2024-06-09 08:47:37,3,1,2,0,4,3,2,0,202406090847373.jpg
2024-06-07 07:18:34,4,0,0,0,0,0,0,0,202406070718344.jpg
2024-06-05 08:09:31,1,1,1,1,3,3,1,3,202406050809311.jpg
2024-06-06 13:28:14,2,0,0,0,0,0,0,0,202406061328142.jpg
2024-06-05 05:58:37,2,0,0,0,0,0,0,0,202406050558372.jpg
2024-06-03 09:48:52,5,1,1,1,3,4,0,3,202406030948525.jpg
2024-06-21 02:54:32,3,0,0,0,0,0,0,0,202406210254323.jpg
2024-06-20 21:55:00,1,1,0,1,3,2,3,4,202406202155001.jpg
2024-06-20 12:36:48,3,0,0,0,0,0,0,0,202406201236483.jpg
2024-06-13 10:33:17,1,1,2,1,5,2,1,6,202406131033171.jpg
2024-06-10 03:49:46,2,0,0,0,0,0,0,0,202406100349462.jpg
2024-06-28 02:58:30,2,1,2,0,0,0,2,3,202406280258302.jpg
2024-07-01 04:54:15,3,1,2,1,6,2,4,4,202407010454153.jpg
2024-06-15 16:36:43,1,1,4,1,9,5,4,0,202406151636431.jpg
2024-06-06 04:02:07,2,1,1,1,5,0,0,4,202406060402072.jpg
2024-06-21 22:02:26,2,1,3,0,0,0,3,4,202406212202262.jpg
2024-06-09 04:27:12,2,0,0,0,0,0,0,0,202406090427122.jpg
2024-06-19 08:51:49,2,1,2,1,5,5,4,0,202406190851492.jpg
2024-06-25 19:41:40,1,1,1,0,7,5,3,6,202406251941401.jpg
2024-07-01 12:29:56,2,0,0,0,0,0,0,0,202407011229562.jpg
2024-06-29 23:45:47,4,0,0,0,0,0,0,0,202406292345474.jpg
2024-06-29 01:07:40,1,0,0,0,0,0,0,0,202406290107401.jpg
2024-06-04 11:48:10,3,0,0,0,0,0,0,0,202406041148103.jpg
2024-06-08 15:38:31,5,0,0,0,0,0,0,0,202406081538315.jpg
2024-06-22 12:28:27,2,0,0,0,0,0,0,0,202406221228272.jpg
2024-06-07 23:37:58,5,0,0,0,0,0,0,0,202406072337585.jpg
2024-06-05 11:34:24,3,1,3,0,5,4,2,7,202406051134243.jpg
2024-06-26 03:54:50,4,1,2,1,2,2,0,7,202406260354504.jpg
2024-06-12 16:01:51,1,1,0,1,1,5,1,6,202406121601511.jpg
2024-06-05 11:19:24,3,0,0,0,0,0,0,0,202406051119243.jpg
2024-06-28 22:39:00,3,0,0,0,0,0,0,0,202406282239003.jpg
2024-06-30 01:41:45,1,1,2,0,0,4,0,2,202406300141451.jpg
2024-06-14 13:16:58,1,1,1,0,5,1,1,6,202406141316581.jpg
2024-06-02 13:03:54,1,0,0,0,0,0,0,0,202406021303541.jpg
2024-06-19 17:50:40,1,1,1,0,5,4,1,2,202406191750401.jpg
2024-06-12 12:08:52,1,0,0,0,0,0,0,0,202406121208521.jpg
2024-06-04 23:17:41,4,1,0,0,6,1,3,2,202406042317414.jpg
2024-06-07 07:22:03,1,0,0,0,0,0,0,0,202406070722031.jpg
2024-06-19 08:27:53,2,1,4,0,2,0,2,0,202406190827532.jpg
2024-06-30 07:19:05,1,1,2,0,9,5,0,3,202406300719051.jpg
2024-06-18 01:32:55,3,0,0,0,0,0,0,0,202406180132553.jpg
2024-06-29 16:41:15,1,1,3,0,2,2,3,4,202406291641151.jpg
2024-06-13 00:55:23,4,1,1,1,8,4,2,0,202406130055234.jpg
2024-06-04 01:55:35,5,0,0,0,0,0,0,0,202406040155355.jpg
2024-06-21 13:16:47,1,1,1,0,7,1,2,6,202406211316471.jpg
2024-06-20 08:43:01,3,0,0,0,0,0,0,0,202406200843013.jpg
2024-06-16 16:34:23,3,0,0,0,0,0,0,0,202406161634233.jpg
2024-06-12 22:15:55,3,1,0,0,8,1,1,5,202406122215553.jpg
2024-06-14 18:53:43,3,0,0,0,0,0,0,0,202406141853433.jpg
2024-06-17 02:25:06,5,1,2,0,6,0,4,7,202406170225065.jpg
2024-06-17 04:27:52,3,1,2,0,0,4,1,7,202406170427523.jpg
2024-06-12 22:45:44,1,1,4,0,7,2,4,0,202406122245441.jpg
2024-06-07 11:17:07,3,0,0,0,0,0,0,0,202406071117073.jpg
2024-06-22 18:51:06,5,0,0,0,0,0,0,0,202406221851065.jpg
2024-06-20 10:02:15,1,0,0,0,0,0,0,0,202406201002151.jpg
2024-06-19 08:20:30,1,1,4,1,6,0,4,0,202406190820301.jpg
2024-06-07 11:25:41,3,0,0,0,0,0,0,0,202406071125413.jpg
2024-06-08 18:35:28,5,1,2,1,8,3,2,6,202406081835285.jpg
2024-06-19 18:10:22,5,1,3,0,8,4,0,2,202406191810225.jpg
2024-06-20 00:57:17,2,1,1,1,9,4,0,5,202406200057172.jpg
2024-06-22 13:13:57,2,1,3,1,6,4,1,6,202406221313572.jpg
2024-06-15 02:35:50,4,0,0,0,0,0,0,0,202406150235504.jpg
2024-06-03 17:04:11,1,0,0,0,0,0,0,0,202406031704111.jpg
2024-06-30 00:32:25,1,0,0,0,0,0,0,0,202406300032251.jpg
2024-06-08 16:04:04,2,0,0,0,0,0,0,0,202406081604042.jpg
2024-06-20 23:48:32,3,0,0,0,0,0,0,0,202406202348323.jpg
2024-06-14 20:46:49,2,0,0,0,0,0,0,0,202406142046492.jpg
2024-06-24 10:59:27,4,1,4,1,3,1,0,3,202406241059274.jpg
2024-07-01 21:31:42,3,0,0,0,0,0,0,0,202407012131423.jpg
2024-06-26 04:04:07,3,1,2,0,8,0,1,2,202406260404073.jpg
2024-06-13 15:40:03,5,0,0,0,0,0,0,0,202406131540035.jpg
2024-06-19 04:00:03,2,1,0,0,7,0,4,7,202406190400032.jpg
2024-06-20 05:40:32,1,1,1,0,5,1,4,0,202406200540321.jpg
2024-06-26 22:45:43,2,1,1,1,4,1,3,4,202406262245432.jpg
2024-06-04 03:16:57,1,1,4,1,4,5,4,5,202406040316571.jpg
2024-06-01 13:56:55,1,0,0,0,0,0,0,0,202406011356551.jpg
2024-06-29 08:54:00,2,1,0,0,7,3,3,3,202406290854002.jpg
2024-06-12 23:45:18,1,1,0,0,2,5,2,4,202406122345181.jpg
2024-06-30 07:43:51,2,0,0,0,0,0,0,0,202406300743512.jpg
2024-06-11 11:23:35,5,0,0,0,0,0,0,0,202406111123355.jpg
2024-06-14 19:28:25,5,0,0,0,0,0,0,0,202406141928255.jpg
2024-06-25 00:40:03,2,0,0,0,0,0,0,0,202406250040032.jpg
2024-06-30 06:39:30,2,0,0,0,0,0,0,0,202406300639302.jpg
2024-06-07 22:44:00,1,0,0,0,0,0,0,0,202406072244001.jpg
2024-06-23 08:01:16,3,1,1,0,7,1,4,2,202406230801163.jpg
2024-06-30 13:35:00,4,0,0,0,0,0,0,0,202406301335004.jpg
